2018/07/16 13:15:21 [error] 7#7: *1 directory index of "/var/www/html/laravel/site/" is forbidden, client: 185.26.99.217, server: laravel.blaine.top, request: "GET / HTTP/1.1", host: "laravel.blaine.top"
2018/08/15 11:44:53 [error] 7#7: *1 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 172.22.0.1, server: laravel.blaine.top, request: "GET / HTTP/1.1", upstream: "fastcgi://172.22.0.3:9002", host: "laravel.blaine.top"
2018/08/15 11:44:53 [error] 7#7: *1 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 172.22.0.1, server: laravel.blaine.top, request: "GET / HTTP/1.1", upstream: "fastcgi://172.22.0.3:9002", host: "laravel.blaine.top"
2018/08/15 11:45:37 [error] 7#7: *13 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 172.22.0.1, server: laravel.blaine.top, request: "GET / HTTP/1.1", upstream: "fastcgi://172.22.0.3:9002", host: "laravel.blaine.top"
2018/08/15 11:45:37 [error] 7#7: *13 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 172.22.0.1, server: laravel.blaine.top, request: "GET / HTTP/1.1", upstream: "fastcgi://172.22.0.3:9002", host: "laravel.blaine.top"
2018/08/15 12:08:26 [error] 7#7: *1 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 172.23.0.1, server: laravel.blaine.top, request: "GET / HTTP/1.1", upstream: "fastcgi://172.23.0.3:9002", host: "laravel.blaine.top"
2018/08/15 12:08:26 [error] 7#7: *1 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 172.23.0.1, server: laravel.blaine.top, request: "GET / HTTP/1.1", upstream: "fastcgi://172.23.0.3:9002", host: "laravel.blaine.top"
2018/08/15 12:19:10 [error] 8#8: *1 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 172.24.0.1, server: laravel.blaine.top, request: "GET / HTTP/1.1", upstream: "fastcgi://172.24.0.3:9002", host: "laravel.blaine.top"
2018/08/15 12:19:10 [error] 8#8: *1 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 172.24.0.1, server: laravel.blaine.top, request: "GET / HTTP/1.1", upstream: "fastcgi://172.24.0.3:9002", host: "laravel.blaine.top"
2018/08/15 12:42:10 [error] 8#8: *6 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 172.24.0.1, server: laravel.blaine.top, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.24.0.3:9002", host: "laravel.blaine.top"
2018/08/15 12:42:10 [error] 8#8: *6 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 172.24.0.1, server: laravel.blaine.top, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.24.0.3:9002", host: "laravel.blaine.top"
